"AwardCeremony","FilmID","FilmName","Year","Rated","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Service","AFISilver","Theater","Watchlist","Nominations","Losses","Wins"
"02-1930","tt0019788","Coquette",1929,"Unrated","76 min","Drama, Romance","Sam Taylor","George Abbott, Ann Preston Bridgers, John Grey","Mary Pickford, Johnny Mack Brown, Matt Moore","A flirtatious Southern belle is compromised with one of her suitors.","English","United States","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BODY0OGEwMWYtNDQ4NC00Y2M2LWJkN2ItYjI0ZjI1MjJiMmJhXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","5.7","2,127","tt0019788","movie",NA,NA,NA,NA,"5.7/10",NA,"44%",NA,NA,NA,NA,NA,"Y",1,0,1
"02-1930","tt0019824","The Divine Lady",1928,"Not Rated","99 min","Drama, History, Romance","Frank Lloyd","E. Barrington, Forrest Halsey, Harry Carr","Corinne Griffith, Victor Varconi, H.B. Warner","The story of the romance between Emma, Lady Hamilton, and British war hero Admiral Horatio Nelson.","None, English","United States","Won 1 Oscar. 3 nominations total","https://m.media-amazon.com/images/M/MV5BMTc3MDIxODQ3MF5BMl5BanBnXkFtZTgwMTkwMDY0MjE@._V1_SX300.jpg","N/A","6.2","765","tt0019824","movie",NA,NA,NA,NA,"6.2/10",NA,NA,NA,NA,NA,NA,NA,"Y",3,2,1
"02-1930","tt0019833","Drag",1929,"N/A","85 min","Drama","Frank Lloyd","Bradley King, William Dudley Pelley","Richard Barthelmess, Lucien Littlefield, Kathrin Clare Ward","A writer is torn between his wife, and a more sophisticated woman that he lusts after.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BM2E2ZTQ3YjQtNzYxNC00OGJmLTgwYzctNTk4ZTJmNmQwOTgzXkEyXkFqcGdeQXVyMjk2NjgyMjE@._V1_SX300.jpg","N/A","6.7","56","tt0019833","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"02-1930","tt0019843","Dynamite",1929,"Passed","129 min","Drama","Cecil B. DeMille","Jeanie Macpherson, John Howard Lawson, Gladys Unger","Conrad Nagel, Kay Johnson, Charles Bickford","Wealthy Cynthia is in love with not-so-wealthy Roger, who is married to Marcia. The threesome is terribly modern about the situation, and Marcia will gladly divorce Roger if Cynthia agrees to a financial settlement. But Cynthia's wea","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMzg0OGYzNzktMmQ0Ni00NGFiLTg3NjgtNjdiOGVmZDllNzQ4XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.0","429","tt0019843","movie",NA,NA,NA,NA,"7.0/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"02-1930","tt0019993","The Hollywood Revue of 1929",1929,"Passed","130 min","Comedy, Music","Charles Reisner, Christy Cabanne, Norman Houston","Al Boasberg, Robert E. Hopkins, Joseph Farnham","Conrad Nagel, Jack Benny, John Gilbert","An all-star revue featuring MGM contract players.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjBlYjY4NGEtOTZiMS00NWZlLWFmYjMtOWQ5M2FiYTU3Yjk4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","N/A","5.8","2,024","tt0019993","movie",NA,NA,NA,NA,"5.8/10",NA,"43%",NA,NA,NA,NA,NA,"Y",1,1,0
"02-1930","tt0020018","In Old Arizona",1928,"Passed","95 min","Western","Irving Cummings","O. Henry, Tom Barry, Paul Gerard Smith","Edmund Lowe, Warner Baxter, Dorothy Burgess","A charming, happy-go-lucky bandit in old Arizona plays cat-and-mouse with the sheriff trying to catch him while he romances a local beauty.","English, Spanish, Italian","United States","Won 1 Oscar. 2 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BMjE0ODAxNzQ0M15BMl5BanBnXkFtZTgwNTk4ODQwMjE@._V1_SX300.jpg","N/A","5.6","1,064","tt0020018","movie",NA,NA,NA,NA,"5.6/10",NA,"56%",NA,NA,"Prime Rentals",NA,NA,"Y",5,4,1
"02-1930","tt0020081","The Last of Mrs. Cheyney",1929,"Passed","94 min","Comedy, Drama","Sidney Franklin","Frederick Lonsdale","Norma Shearer, Basil Rathbone, George Barraud","At an elegant gathering of English nobility, young widow Fay Cheyney wins with her beauty, musicality and clever repartee. Cheyney, however, is not who she claims to be.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMzc1MjU1MDg3NV5BMl5BanBnXkFtZTgwMTE5NzM2MzE@._V1_SX300.jpg","N/A","6.1","504","tt0020081","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"02-1930","tt0020088","The Leatherneck",1929,"Passed","65 min","Drama","Howard Higgin","Elliott J. Clawson, John W. Krafft","William Boyd, Alan Hale, Robert Armstrong","An odd little film about male bonding. At the end of WW I, two Americans (William Boyd and Robert Armstrong) befriend a simple minded German (Alan Hale) and win him over into becoming an American. All three are still peacetime servic","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BOGRhMDZkZjYtODkzNy00MTA5LWFiNjktNzMxMThlNWFjZjc1XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg","N/A","6.3","106","tt0020088","movie",NA,NA,NA,NA,"6.3/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"02-1930","tt0020092","The Letter",1929,"Passed","65 min","Drama","Jean de Limur","W. Somerset Maugham, Monta Bell, Jean de Limur","Jeanne Eagels, Reginald Owen, Herbert Marshall","Jeanne Eagels plays the bored and restless Leslie Crosbie who turns to another man, Geoffrey Hammond (Herbert Marshall) for attention when neglected by her husband Robert (Reginald Owen). Robert decides to go out for the evening to p","English","United States","Nominated for 1 Oscar. 1 win & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZWFiM2YxNzYtZjdjMC00MzI4LWI0MjUtNTUxMTAyNmM4NGEwXkEyXkFqcGdeQXVyMTk4MDgwNA@@._V1_SX300.jpg","N/A","6.7","695","tt0020092","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"02-1930","tt0020126","Madame X",1929,"Passed","95 min","Drama","Lionel Barrymore","Alexandre Bisson, Willard Mack","Lewis Stone, Ruth Chatterton, Raymond Hackett","A young lawyer unknowingly defends his mother who abandoned him when he was three.","English","United States","Nominated for 2 Oscars. 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTY0NjIyMTA0NF5BMl5BanBnXkFtZTgwODg5MDgxMjE@._V1_SX300.jpg","N/A","5.9","492","tt0020126","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,"Y",2,2,0
"02-1930","tt0020499","Thunderbolt",1929,"Passed","85 min","Crime, Drama, Film-Noir","Josef von Sternberg","Jules Furthman, Charles Furthman, Herman J. Mankiewicz","George Bancroft, Fay Wray, Richard Arlen","A criminal known as Thunderbolt is imprisoned and facing execution. Into the next cell is placed Bob Moran, an innocent man who has been framed and who is in love with Thunderbolt's girl. Thunderbolt hopes to stave off the execution","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMmFhNWVjNDUtZTU0Yi00NGIxLThiODQtNTg0MDFhZDRkZTQzXkEyXkFqcGdeQXVyMjQ3MTQ1MTg@._V1_SX300.jpg","N/A","6.5","671","tt0020499","movie",NA,NA,NA,NA,"6.5/10",NA,"70%",NA,NA,NA,NA,NA,"Y",1,1,0
"02-1930","tt0020543","The Valiant",1929,"N/A","66 min","Drama","William K. Howard","Tom Barry, John Hunter Booth, Holworthy Hall","Paul Muni, Marguerite Churchill, Johnny Mack Brown","After killing an unknown man for an unknown reason, a mysterious drifter turns himself to the law, under a false name intending to protect his own family's honor. But when the news of his conviction breaks, the drifter's sister and m","English","United States","Nominated for 2 Oscars. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMmZhMWQwZGUtZDlhMy00MjlmLWE3OGQtNjAzMTQxMzA3Yjc5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg","N/A","6.0","423","tt0020543","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,"Y",2,2,0
"02-1930","tt0020603","Wonder of Women",1929,"N/A","95 min","Drama","Clarence Brown","Marian Ainslee, Bess Meredyth, Hermann Sudermann","Lewis Stone, Leila Hyams, Peggy Wood","A German pianist is going to break up with his unfaithful wife, when he receives the message that his favourite stepchild has died.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjYzMjUwNDItZjBlZi00MTM0LTk0YmQtN2ZkMGMwYWQ2NTcyXkEyXkFqcGdeQXVyMDY4MzkyNw@@._V1_SX300.jpg","N/A","6.0","70","tt0020603","movie",NA,NA,NA,NA,"6.0/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"03-1930","tt0019735","Bulldog Drummond",1929,"Passed","90 min","Drama, Mystery, Thriller","F. Richard Jones","Herman C. McNeile, Sidney Howard","Ronald Colman, Claud Allister, Lawrence Grant","A bored WWI veteran helps out a young woman, whose uncle is being held hostage by embezzlers.","English","United States","Nominated for 2 Oscars. 1 win & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMjI5Nzc2MTc5MF5BMl5BanBnXkFtZTgwNzM0NDAwMjE@._V1_SX300.jpg","N/A","6.4","1,019","tt0019735","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",2,2,0
"03-1930","tt0019785","Condemned!",1929,"Not Rated","86 min","Drama","Wesley Ruggles","Sidney Howard, Blair Niles","Ronald Colman, Ann Harding, Dudley Digges","Suave thief Colman is sent to Devil's Island, where he becomes romantically involved with the wife of sadistic warden Digges.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYzMzZTUwZWYtZWJjNC00YTc5LWExZmItNTQ2MTAxMDYwMDY3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","6.4","425","tt0019785","movie",NA,NA,NA,NA,"6.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"03-1930","tt0019823","Disraeli",1929,"Passed","90 min","Biography, Drama, History","Alfred E. Green","Julien Josephson, De Leon Anthony, Louis N. Parker","George Arliss, Doris Lloyd, David Torrence","Prime Minister of Great Britain Benjamin Disraeli outwits the subterfuge of the Russians and chicanery at home in order to secure the purchase of the Suez Canal.","English","United States","Won 1 Oscar. 3 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMTc1NTAxOTExMV5BMl5BanBnXkFtZTgwMDk1MjgwMjE@._V1_SX300.jpg","N/A","6.2","1,158","tt0019823","movie",NA,NA,NA,NA,"6.2/10",NA,NA,5,"2022-06-15",NA,NA,NA,NA,3,2,1
"03-1930","tt0019959","Hallelujah",1929,"Passed","109 min","Drama, Musical","King Vidor","Wanda Tuchock, Richard Schayer, Ransom Rideout","Daniel L. Haynes, Nina Mae McKinney, William Fountaine","A sharecropper decides to become a preacher after falling for a vamp from the city.","English","United States","Nominated for 1 Oscar. 2 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjg3MzgxMDUtNzc4Yi00NGJiLThhYWMtNTdkMmUyNjQ3NzgwXkEyXkFqcGdeQXVyMjcxNjI4NTk@._V1_SX300.jpg","N/A","6.8","1,809","tt0019959","movie",NA,NA,NA,NA,"6.8/10",NA,"86%",NA,NA,NA,NA,NA,"Y",1,1,0
"03-1930","tt0020112","The Love Parade",1929,"Passed","107 min","Comedy, Musical, Romance","Ernst Lubitsch","Ernest Vajda, Guy Bolton, Leon Xanrof","Maurice Chevalier, Jeanette MacDonald, Lupino Lane","The queen of mythical Sylvania marries a courtier, who finds his new life unsatisfying.","English, French","United States","Nominated for 6 Oscars. 1 win & 6 nominations total","https://m.media-amazon.com/images/M/MV5BNDYyZDJlYTYtMjkwYS00MTM3LTkyNmUtOTZlZGUzMTUyMWE0XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg","N/A","7.0","2,293","tt0020112","movie",NA,NA,NA,NA,"7.0/10",NA,"100%",NA,NA,NA,NA,NA,"Y",6,6,0
"03-1930","tt0020358","Sally",1929,"Passed","103 min","Musical","John Francis Dillon","Guy Bolton, Waldemar Young, P.G. Wodehouse","Marilyn Miller, Alexander Gray, Joe E. Brown","Sally was an orphan who got her name from the telephone exchange where she was abandoned as a baby. In the orphanage, she discovered the joy of dancing and has been practicing since. Working as a waitress, she goes from job to job un","English, French","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTg5NDMzNjMwNF5BMl5BanBnXkFtZTgwODg1NTE3MzE@._V1_SX300.jpg","N/A","6.1","342","tt0020358","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"03-1930","tt0020488","Their Own Desire",1929,"Approved","65 min","Drama, Romance","E. Mason Hopper","Sarita Fuller, Frances Marion, James Forbes","Norma Shearer, Belle Bennett, Lewis Stone","Lally is a rich girl whose father writes books and plays Polo. After 23 years of marriage, he decides to divorce his wife, and marry Mrs. Chevers. This sours Lally on all men, while on vacation she meets Jack, who succeeds in stealin","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTMzMDk5MDYxOF5BMl5BanBnXkFtZTcwMDI3NTk5Mw@@._V1_SX300.jpg","N/A","5.9","684","tt0020488","movie",NA,NA,NA,NA,"5.9/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"03-1930","tt0020514","The Trespasser",1929,"N/A","90 min","Drama","Edmund Goulding","Edmund Goulding","Gloria Swanson, Robert Ames, Purnell Pratt","The trial and tribulations of a strong-willed woman who elopes and gives birth out of wedlock without telling her ex-husband.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzg0NzgzODA5OV5BMl5BanBnXkFtZTgwOTMzNzYzMTE@._V1_SX300.jpg","N/A","6.6","1,337","tt0020514","movie",NA,NA,NA,NA,"6.6/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"03-1930","tt0020594","With Byrd at the South Pole",1930,"Passed","82 min","Documentary, Adventure","N/A","Julian Johnson","Richard E. Byrd, Clair D. Alexander, Bernt Balchen","Account of Admiral Byrd's 1928 expedition to the South Pole. Academy award winning cinematography.","English","United States","Won 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYzIwYWI5MGYtOWQ3OC00MDE2LWE1MjgtNjZmYjZiNGFiYTI5XkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg","N/A","6.9","337","tt0020594","movie",NA,NA,NA,NA,"6.9/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,0,1
"03-1930","tt0020629","All Quiet on the Western Front",1930,"Passed","152 min","Drama, War","Lewis Milestone","Erich Maria Remarque, Maxwell Anderson, George Abbott","Lew Ayres, Louis Wolheim, John Wray","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.","English, French, German, Latin","United States","Won 2 Oscars. 7 wins & 2 nominations total","https://m.media-amazon.com/images/M/MV5BMzg2MWQ4MDEtOGZlNi00MTg0LWIwMjQtYWY5NTQwYmUzMWNmXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg","91","8.1","60,073","tt0020629","movie",NA,NA,NA,NA,"8.1/10","91/100","98%",8,"2022-11-06",NA,NA,NA,NA,4,2,2
"03-1930","tt0020641","Anna Christie",1930,"Passed","89 min","Drama, Romance","Clarence Brown","Frances Marion, Eugene O'Neill","Greta Garbo, Charles Bickford, George F. Marion","A young woman reunites with her estranged father and falls in love with a sailor, but struggles to tell them about her dark past.","English","United States","Nominated for 3 Oscars. 1 win & 3 nominations total","https://m.media-amazon.com/images/M/MV5BMTUyNDA5MTY0M15BMl5BanBnXkFtZTgwMzA1NDIwMjE@._V1_SX300.jpg","N/A","6.6","3,113","tt0020641","movie",NA,NA,NA,NA,"6.6/10",NA,NA,6,"2022-08-10","Prime Rentals",NA,NA,NA,3,3,0
"03-1930","tt0020686","The Big House",1930,"Passed","87 min","Crime, Drama, Thriller","George W. Hill, Ward Wing","Frances Marion, Joseph Farnham, Martin Flavin","Chester Morris, Wallace Beery, Lewis Stone","A convict falls in love with his new cellmate's sister, only to become embroiled in a planned break-out which is certain to have lethal consequences.","English, Russian","United States","Won 2 Oscars. 4 nominations total","https://m.media-amazon.com/images/M/MV5BNjBjMmU2NjQtOGJlYS00OTE4LWE4ZjYtNzlmMzJhYmE5MjA5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","7.1","2,138","tt0020686","movie",NA,NA,NA,NA,"7.1/10",NA,"75%",NA,NA,NA,NA,NA,"Y",4,2,2
"03-1930","tt0020690","The Big Pond",1930,"Passed","72 min","Comedy, Music, Romance","Hobart Henley","A.E. Thomas, George Middleton, Garrett Fort","Maurice Chevalier, Claudette Colbert, Frank Lyon","A tour guide in Venice romances a visiting American tourist whose father owns a chewing-gum factory back in the U.S. She sets out to convince her skeptical father to bring the tour guide to America and give him a job in the plant.","English, French","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNjQ3NTRlNGEtMjRmMS00ZWQ0LWEwYzItZjBiOWY3NTdjYzc2XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","5.8","271","tt0020690","movie",NA,NA,NA,NA,"5.8/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"03-1930","tt0020744","The Case of Sergeant Grischa",1930,"Passed","91 min","Drama, History, Romance","Herbert Brenon","Arnold Zweig, Elizabeth Meehan","Chester Morris, Betty Compson, Alec B. Francis","Sergeant Gischa Patrotkin (Chester Morris), a simple-minded Russian soldier, escapes from a German prisoner-of-war camp. He hides out for awhile with a peasant girl named Babka (Betty Compson), but finally his longing for his homelan","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BYjlkNTk5YjMtYTBjNi00YjA0LThjMWUtZTgxZDAzNGIyZDAwXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","7.4","45","tt0020744","movie",NA,NA,NA,NA,"7.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"03-1930","tt0020823","The Devil's Holiday",1930,"Passed","80 min","Drama, Romance","Edmund Goulding","Edmund Goulding","Nancy Carroll, Phillips Holmes, James Kirkwood","A savvy city girl is hired to sugar an earnest farm boy into a business deal, but loses her heart.","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BNzFlZThiOGQtNzhjMi00ZDIyLTgxZjktNjQ3YTcyNzFiNzVlXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","N/A","6.1","193","tt0020823","movie",NA,NA,NA,NA,"6.1/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"03-1930","tt0020827","The Divorcee",1930,"Passed","84 min","Romance, Drama","Robert Z. Leonard","Ursula Parrott, Nick Grinde, Zelda Sears","Norma Shearer, Robert Montgomery, Chester Morris","When a woman discovers that her husband has been unfaithful to her, she decides to respond to his infidelities in kind.","English, French","United States","Won 1 Oscar. 4 nominations total","https://m.media-amazon.com/images/M/MV5BMTk5NzQzNjEwNV5BMl5BanBnXkFtZTgwNjA2NTAwMjE@._V1_SX300.jpg","N/A","6.7","3,034","tt0020827","movie",NA,NA,NA,NA,"6.7/10",NA,"75%",7,"2023-04-30","Prime Rentals","Y",NA,NA,4,3,1
"03-1930","tt0020938","The Green Goddess",1930,"Passed","73 min","Adventure","Alfred E. Green","William Archer, Julien Josephson, Maude T. Howell","George Arliss, Ralph Forbes, H.B. Warner","An airplane carrying three Brits--Major Crespin, his wife Lucille, and Dr. Trahern--crash lands in the kingdom of Rukh. The Rajah holds them prisoner because the British are about to execute his three half-brothers in neighboring Ind","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMTI0ODhjY2UtZjA0MS00MGU4LThmMTgtNWYzYWExYjUzYzE2XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg","N/A","5.4","396","tt0020938","movie",NA,NA,NA,NA,"5.4/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,1,0
"03-1930","tt0020960","Hell's Angels",1930,"Passed","127 min","Drama, War","Howard Hughes, Edmund Goulding, James Whale","Marshall Neilan, Joseph Moncure March, Howard Estabrook","Ben Lyon, James Hall, Jean Harlow","Brothers Monte and Ray leave Oxford to join the Royal Flying Corps. Ray loves Helen; Helen enjoys an affair with Monte; before they leave on their mission over Germany they find her in still another man's arms.","English, German, French","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BMzMwODM4MzE2MF5BMl5BanBnXkFtZTgwNTc0NTgyMjE@._V1_SX300.jpg","N/A","7.3","5,334","tt0020960","movie",NA,NA,NA,NA,"7.3/10",NA,"76%",NA,NA,NA,NA,NA,"Y",1,1,0
"03-1930","tt0021025","King of Jazz",1930,"Passed","99 min","Animation, Comedy, Musical","John Murray Anderson, Walter Lantz","Harry Ruskin, Edward T. Lowe Jr., Charles MacArthur","Paul Whiteman, John Boles, Laura La Plante","American Pre-Code color film starring Paul Whiteman and his Jazz orchestra.","English, Spanish, German, Russian, French, Italian","United States","Won 1 Oscar. 2 wins total","https://m.media-amazon.com/images/M/MV5BMTAxODk3NzI3ODdeQTJeQWpwZ15BbWU4MDQwMDEwMjIx._V1_SX300.jpg","N/A","6.7","1,317","tt0021025","movie",NA,NA,NA,NA,"6.7/10",NA,NA,NA,NA,NA,NA,NA,"Y",1,0,1
"03-1930","tt0021281","Raffles",1930,"N/A","72 min","Adventure, Crime, Drama","George Fitzmaurice, Harry d'Abbadie d'Arrast","Sidney Howard, E.W. Hornung, Eugene Wiley Presbrey","Ronald Colman, Kay Francis, David Torrence","A distinguished English gentleman has a secret life--he is the notorious jewel thief the press has dubbed ""The Amateur Cracksman"". When he meets a woman and falls in love he decides to ""retire"" from that life, but an old friend comes","English","United States","Nominated for 1 Oscar. 1 nomination total","https://m.media-amazon.com/images/M/MV5BZjY2MDQ5MzMtODAxZi00NWUyLWJjYTUtMzc5YjQ1YWRiZjg0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","6.5","913","tt0021281","movie",NA,NA,NA,NA,"6.5/10",NA,"60%",NA,NA,NA,NA,NA,"Y",1,1,0
